starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	0	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	0	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	0	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	0	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:05 2017	1484518205	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	0	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	0	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	0	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	0	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	0	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	0	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:05 2017	1484518205	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	0	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	0
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	0	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:05 2017	1484518205	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	0
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	0	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	0	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:05 2017	1484518205	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	0	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:05 2017	1484518205	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	0	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	0	2	2	2
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	0	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	0	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	0	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:05 2017	1484518205	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	0	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:05 2017	1484518205	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	2
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:05 2017	1484518205	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:11 2017	1484518211	0	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	0	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:05 2017	1484518205	0	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	0	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	0	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	1	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	1	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	0	2	2	2
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	2
Sun Jan 15 23:10:08 2017	1484518208	1	2	2	1
Sun Jan 15 23:10:07 2017	1484518207	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:06 2017	1484518206	1	2	2	2
Sun Jan 15 23:10:07 2017	1484518207	1	2	2	2
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	0	2	2	2
Sun Jan 15 23:10:06 2017	1484518206	0	2	2	2
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:10 2017	1484518210	1	1	2	0
Sun Jan 15 23:10:11 2017	1484518211	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
Sun Jan 15 23:10:11 2017	1484518211	1	1	2	1
Sun Jan 15 23:10:09 2017	1484518209	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	2	2	1
Sun Jan 15 23:10:12 2017	1484518212	1	1	2	1
